date,expiry,method,n_grid,n_price_convex_viol,n_price_slope_viol,n_density_negative,n_iv_undefined,n_scored,n_viol,n_viol_observed,n_grid_observed
2021-06-11,2021-06-24,Fengler,61,0,0,0,0,61,0,0,43
2021-06-29,2021-12-30,Fengler,61,0,0,0,4,57,8,0,43
2021-06-29,2021-09-30,Fengler,61,0,0,0,0,61,0,0,43
2021-06-29,2021-08-26,Fengler,61,0,0,0,2,59,2,0,43
2021-06-29,2021-07-29,Fengler,61,0,0,0,0,61,0,0,43
2021-06-29,2021-07-15,Fengler,61,0,0,0,0,61,1,0,43
2021-06-29,2021-07-08,Fengler,61,0,0,0,0,61,0,0,43
2021-07-15,2021-12-30,Fengler,61,0,0,0,6,55,2,0,43
2021-07-15,2021-09-30,Fengler,61,0,0,0,0,61,0,0,43
2021-07-15,2021-08-26,Fengler,61,0,0,0,0,61,0,0,43
2021-07-15,2021-08-05,Fengler,61,0,0,0,0,61,0,0,43
2021-07-15,2021-07-29,Fengler,61,0,0,0,0,61,0,0,43
2021-07-15,2021-07-22,Fengler,61,0,0,0,0,60,0,0,43
2021-08-03,2021-12-30,Fengler,61,0,0,0,4,57,2,0,43
2021-08-03,2021-10-28,Fengler,61,0,0,0,4,57,10,0,43
2021-08-03,2021-09-30,Fengler,61,0,0,0,0,61,0,0,43
2021-08-03,2021-08-26,Fengler,61,0,0,0,0,61,0,0,43
2021-08-03,2021-08-18,Fengler,61,0,0,0,9,52,3,0,43
2021-08-03,2021-08-12,Fengler,61,0,0,0,0,61,0,0,43
2021-08-20,2021-12-30,Fengler,61,0,0,0,0,61,0,0,43
2021-08-20,2021-10-28,Fengler,61,0,0,0,2,59,4,0,43
2021-08-20,2021-09-30,Fengler,61,0,0,0,5,56,0,0,43
2021-08-20,2021-09-09,Fengler,61,0,0,0,8,53,2,0,43
2021-08-20,2021-09-02,Fengler,61,0,0,0,0,61,0,0,43
2021-09-07,2021-12-30,Fengler,61,0,0,0,3,58,2,0,43
2021-09-07,2021-11-25,Fengler,61,0,0,0,0,61,1,0,43
2021-09-07,2021-10-28,Fengler,61,0,0,0,10,51,2,0,43
2021-09-07,2021-09-30,Fengler,61,0,0,0,0,61,0,0,43
2021-09-07,2021-09-23,Fengler,61,0,0,0,0,61,0,0,43
2021-09-07,2021-09-16,Fengler,61,0,0,0,0,61,0,0,43
2021-09-24,2021-12-30,Fengler,61,0,0,0,3,58,2,0,43
2021-09-24,2021-11-25,Fengler,61,0,0,0,4,57,9,0,43
2021-09-24,2021-10-28,Fengler,61,0,0,0,6,55,2,0,43
2021-09-24,2021-10-21,Fengler,61,0,0,0,0,61,6,0,43
2021-09-24,2021-10-14,Fengler,61,0,0,0,5,56,2,0,43
2021-09-24,2021-10-07,Fengler,61,0,0,0,5,56,0,0,43
2021-10-12,2021-12-30,Fengler,61,0,0,0,3,58,1,0,43
2021-10-12,2021-11-25,Fengler,61,0,0,0,5,56,3,0,43
2021-10-12,2021-11-03,Fengler,61,0,0,0,0,61,0,0,43
2021-10-12,2021-10-28,Fengler,61,0,0,0,6,55,0,0,43
2021-10-12,2021-10-21,Fengler,61,0,0,0,2,58,0,0,43
2021-10-29,2022-03-31,Fengler,61,0,0,0,6,55,8,0,43
2021-10-29,2021-12-30,Fengler,61,0,0,0,0,61,0,0,43
2021-10-29,2021-12-02,Fengler,61,0,0,0,3,58,7,1,43
2021-10-29,2021-11-25,Fengler,61,0,0,0,0,61,0,0,43
2021-10-29,2021-11-18,Fengler,61,0,0,0,3,58,2,0,43
2021-10-29,2021-11-11,Fengler,61,0,0,0,0,61,0,0,43
2021-11-18,2022-03-31,Fengler,61,0,0,0,5,56,3,0,43
2021-11-18,2022-01-27,Fengler,61,0,0,0,0,61,3,0,43
2021-11-18,2021-12-30,Fengler,61,0,0,0,0,61,0,0,43
2021-11-18,2021-12-09,Fengler,61,0,0,0,0,61,0,0,43
2021-11-18,2021-12-02,Fengler,61,0,0,0,2,59,0,0,43
2021-11-18,2021-11-25,Fengler,61,0,0,0,0,61,0,0,43
2021-12-07,2022-03-31,Fengler,61,0,0,0,4,56,3,0,43
2021-12-07,2022-02-24,Fengler,61,0,0,0,3,58,10,0,43
2021-12-07,2022-01-27,Fengler,61,0,0,0,1,59,3,0,43
2021-12-07,2021-12-30,Fengler,61,0,0,0,0,61,0,0,43
2021-12-07,2021-12-23,Fengler,61,0,0,0,0,61,0,0,43
2021-12-07,2021-12-16,Fengler,61,0,0,0,0,61,0,0,43
2021-12-23,2022-03-31,Fengler,61,0,0,0,5,56,0,0,43
2021-12-23,2022-02-24,Fengler,61,0,0,0,0,61,0,0,43
2021-12-23,2022-01-27,Fengler,61,0,0,0,2,59,2,0,43
2021-12-23,2022-01-13,Fengler,61,0,0,0,8,53,1,0,43
2021-12-23,2022-01-06,Fengler,61,0,0,0,2,59,0,0,43
2021-12-23,2021-12-30,Fengler,61,0,0,0,0,61,0,0,43
2022-01-10,2022-12-29,Fengler,61,0,0,0,4,57,5,0,43
2022-01-10,2022-03-31,Fengler,61,0,0,0,3,58,0,0,43
2022-01-10,2022-02-24,Fengler,61,0,0,0,6,55,3,0,43
2022-01-10,2022-02-03,Fengler,61,0,0,0,3,57,8,3,43
2022-01-10,2022-01-27,Fengler,61,0,0,0,0,61,0,0,43
2022-01-10,2022-01-20,Fengler,61,0,0,0,3,58,0,0,43
2022-01-27,2022-12-29,Fengler,61,0,0,0,4,57,6,0,43
2022-01-27,2022-06-30,Fengler,61,0,0,0,4,57,5,0,43
2022-01-27,2022-03-31,Fengler,61,0,0,0,3,58,0,0,43
2022-01-27,2022-02-24,Fengler,61,0,0,0,3,57,1,0,43
2022-01-27,2022-02-17,Fengler,61,0,0,0,0,60,15,7,43
2022-01-27,2022-02-10,Fengler,61,0,0,0,0,61,0,0,43
2022-01-27,2022-02-03,Fengler,61,0,0,0,2,59,0,0,43
2022-02-14,2022-12-29,Fengler,61,0,0,0,2,59,5,0,43
2022-02-14,2022-06-30,Fengler,61,0,0,0,2,59,7,0,43
2022-02-14,2022-04-28,Fengler,61,0,0,0,1,59,9,0,43
2022-02-14,2022-03-31,Fengler,61,0,0,0,0,61,0,0,43
2022-02-14,2022-03-24,Fengler,61,0,0,0,0,61,5,0,43
2022-02-14,2022-03-10,Fengler,61,0,0,0,0,60,8,0,43
2022-02-14,2022-03-03,Fengler,61,0,0,0,3,58,5,0,43
2022-02-14,2022-02-24,Fengler,61,0,0,0,4,56,1,0,43
2022-03-03,2022-12-29,Fengler,61,0,0,0,1,60,13,0,43
