date,method,expiry_earlier,expiry_later,n_grid,n_grid_common,n_price_viol,n_price_viol_common,n_scored,n_viol,n_viol_common
2021-09-07,Fengler,2021-09-16,2021-09-23,61,18,17,0,39,2,0
2021-09-07,Fengler,2021-09-23,2021-09-30,61,18,0,0,39,0,0
2021-09-07,Fengler,2021-09-30,2021-10-28,61,27,30,0,32,3,0
2021-09-07,Fengler,2021-10-28,2021-11-25,61,19,7,0,26,1,0
2021-09-07,Fengler,2021-11-25,2021-12-30,61,20,0,0,35,0,0
2021-09-24,Fengler,2021-10-07,2021-10-14,61,16,7,0,25,2,0
2021-09-24,Fengler,2021-10-14,2021-10-21,61,11,0,0,25,0,0
2021-09-24,Fengler,2021-10-21,2021-10-28,61,11,33,0,47,33,0
2021-09-24,Fengler,2021-10-28,2021-11-25,61,22,23,0,27,2,0
2021-09-24,Fengler,2021-11-25,2021-12-30,61,22,0,0,29,0,0
2021-10-12,Fengler,2021-10-21,2021-10-28,61,21,10,0,50,10,0
2021-10-12,Fengler,2021-10-28,2021-11-03,61,15,29,0,23,2,0
2021-10-12,Fengler,2021-11-03,2021-11-25,61,14,13,0,22,1,0
2021-10-12,Fengler,2021-11-25,2021-12-30,61,21,0,0,34,0,0
2021-10-29,Fengler,2021-11-11,2021-11-18,61,18,6,0,32,0,0
2021-10-29,Fengler,2021-11-18,2021-11-25,61,18,11,0,28,7,0
2021-10-29,Fengler,2021-11-25,2021-12-02,61,12,37,0,22,2,0
2021-10-29,Fengler,2021-12-02,2021-12-30,61,12,0,0,23,0,0
2021-10-29,Fengler,2021-12-30,2022-03-31,61,36,14,0,48,2,0
2021-11-18,Fengler,2021-11-25,2021-12-02,61,19,27,0,28,6,0
2021-11-18,Fengler,2021-12-02,2021-12-09,61,18,0,0,28,0,0
2021-11-18,Fengler,2021-12-09,2021-12-30,61,18,0,0,51,0,0
2021-11-18,Fengler,2021-12-30,2022-01-27,61,16,28,0,35,2,0
2021-11-18,Fengler,2022-01-27,2022-03-31,61,16,8,0,29,2,0
2021-12-07,Fengler,2021-12-16,2021-12-23,61,19,14,0,27,3,0
2021-12-07,Fengler,2021-12-23,2021-12-30,61,19,0,0,27,0,0
2021-12-07,Fengler,2021-12-30,2022-01-27,61,22,21,0,41,1,0
2021-12-07,Fengler,2022-01-27,2022-02-24,61,18,16,0,26,1,0
2021-12-07,Fengler,2022-02-24,2022-03-31,61,18,0,0,27,0,0
2021-12-23,Fengler,2021-12-30,2022-01-06,61,20,27,0,38,4,0
2021-12-23,Fengler,2022-01-06,2022-01-13,61,19,18,1,23,3,1
2021-12-23,Fengler,2022-01-13,2022-01-27,61,18,0,0,23,0,0
2021-12-23,Fengler,2022-01-27,2022-02-24,61,16,0,0,38,0,0
2021-12-23,Fengler,2022-02-24,2022-03-31,61,16,14,0,34,8,0
