method,moneyness,maturity,n,rmse_volpts,mae_volpts,task,scope
CubicSpline,"ATM(-0.03,0.03]",medium(30-90d),394,0.4545862000068282,0.07317659084063646,B,fold16_contaminated
CubicSpline,"OTM_call(0.03,0.10]",short(<=30d),498,1.9756050333229338,0.37191728306930943,B,fold16_contaminated
CubicSpline,"OTM_call(0.03,0.10]",medium(30-90d),163,2.0808331838495184,0.3929713111996231,B,fold16_contaminated
CubicSpline,"OTM_call(0.03,0.10]",long(>90d),39,0.23488467481630765,0.1442059714599794,B,fold16_contaminated
CubicSpline,deep_OTM_call(k>0.10),short(<=30d),11,234.75994076615223,124.23446906608275,B,fold16_contaminated
CubicSpline,deep_OTM_call(k>0.10),medium(30-90d),19,69.91352696323725,18.30013326410425,B,fold16_contaminated
CubicSpline,deep_OTM_call(k>0.10),long(>90d),23,0.5504105506409347,0.3668072470578119,B,fold16_contaminated
SSVI,deep_OTM_put(k<=-0.10),short(<=30d),46,5.288036250165659,3.208150494405659,B,fold16_contaminated
SSVI,deep_OTM_put(k<=-0.10),medium(30-90d),51,4.163753898074682,3.1100509214999303,B,fold16_contaminated
SSVI,deep_OTM_put(k<=-0.10),long(>90d),83,1.8289074741611286,1.2564746972002359,B,fold16_contaminated
SSVI,"OTM_put(-0.10,-0.03]",short(<=30d),493,3.3316552801042074,3.0086318986737046,B,fold16_contaminated
SSVI,"OTM_put(-0.10,-0.03]",medium(30-90d),307,2.0573933087346115,1.8976684591419244,B,fold16_contaminated
SSVI,"OTM_put(-0.10,-0.03]",long(>90d),30,0.8764502003844813,0.5878652970242154,B,fold16_contaminated
SSVI,"ATM(-0.03,0.03]",short(<=30d),847,1.5349996144532556,1.1167721419142436,B,fold16_contaminated
SSVI,"ATM(-0.03,0.03]",medium(30-90d),394,0.5547012992298181,0.4002805692383748,B,fold16_contaminated
SSVI,"OTM_call(0.03,0.10]",short(<=30d),498,1.7208260055986029,1.478918644810114,B,fold16_contaminated
SSVI,"OTM_call(0.03,0.10]",medium(30-90d),163,0.9769294942805734,0.8347336752314499,B,fold16_contaminated
SSVI,"OTM_call(0.03,0.10]",long(>90d),39,1.0437786317387456,0.882631789151983,B,fold16_contaminated
SSVI,deep_OTM_call(k>0.10),short(<=30d),11,5.396073816822244,4.716291346268829,B,fold16_contaminated
SSVI,deep_OTM_call(k>0.10),medium(30-90d),19,1.4241131525508244,1.155863855516737,B,fold16_contaminated
SSVI,deep_OTM_call(k>0.10),long(>90d),23,0.606689702917774,0.5187965778984918,B,fold16_contaminated
SVI,deep_OTM_put(k<=-0.10),short(<=30d),46,4.22478737127385,1.5072547987120875,B,fold16_contaminated
SVI,deep_OTM_put(k<=-0.10),medium(30-90d),51,4.540422522722011,1.940356210926101,B,fold16_contaminated
SVI,deep_OTM_put(k<=-0.10),long(>90d),83,1.2381404177443067,0.41568357574101195,B,fold16_contaminated
SVI,"OTM_put(-0.10,-0.03]",short(<=30d),493,0.7051409508735407,0.2885669986098451,B,fold16_contaminated
SVI,"OTM_put(-0.10,-0.03]",medium(30-90d),307,0.6528082328682069,0.3124508567950138,B,fold16_contaminated
SVI,"OTM_put(-0.10,-0.03]",long(>90d),30,0.29258032719329075,0.22806222141525898,B,fold16_contaminated
SVI,"ATM(-0.03,0.03]",short(<=30d),847,2.074958558558674,0.602478494992,B,fold16_contaminated
SVI,"ATM(-0.03,0.03]",medium(30-90d),394,1.31454220422504,0.5236100326247203,B,fold16_contaminated
SVI,"OTM_call(0.03,0.10]",short(<=30d),498,1.537853333798336,0.5837054352741416,B,fold16_contaminated
SVI,"OTM_call(0.03,0.10]",medium(30-90d),163,1.4243476241560136,0.5846273621506447,B,fold16_contaminated
SVI,"OTM_call(0.03,0.10]",long(>90d),39,0.33566747339425973,0.2704136109363313,B,fold16_contaminated
SVI,deep_OTM_call(k>0.10),short(<=30d),11,2.68427391060811,1.5658421600060337,B,fold16_contaminated
SVI,deep_OTM_call(k>0.10),medium(30-90d),19,2.2704469447185414,1.671388879538209,B,fold16_contaminated
SVI,deep_OTM_call(k>0.10),long(>90d),23,0.6152258680338756,0.48382892115902865,B,fold16_contaminated
ThinPlate,deep_OTM_put(k<=-0.10),short(<=30d),46,3.6160914309470455,1.155597554985772,B,fold16_contaminated
ThinPlate,deep_OTM_put(k<=-0.10),medium(30-90d),51,1.7937492165782887,0.8446441669816295,B,fold16_contaminated
ThinPlate,deep_OTM_put(k<=-0.10),long(>90d),83,1.2864186495212093,0.4471197965815316,B,fold16_contaminated
ThinPlate,"OTM_put(-0.10,-0.03]",short(<=30d),493,0.2473282280650225,0.08417140575328953,B,fold16_contaminated
ThinPlate,"OTM_put(-0.10,-0.03]",medium(30-90d),307,0.22810411416088075,0.07238116196770333,B,fold16_contaminated
ThinPlate,"OTM_put(-0.10,-0.03]",long(>90d),30,0.08981303265747745,0.07196267048263426,B,fold16_contaminated
ThinPlate,"ATM(-0.03,0.03]",short(<=30d),847,0.09196924393220583,0.03735097006401428,B,fold16_contaminated
ThinPlate,"ATM(-0.03,0.03]",medium(30-90d),394,0.08865567796337438,0.04638416228851996,B,fold16_contaminated
ThinPlate,"OTM_call(0.03,0.10]",short(<=30d),498,0.3917088183899044,0.1305475730460987,B,fold16_contaminated
ThinPlate,"OTM_call(0.03,0.10]",medium(30-90d),163,0.10905307890000444,0.06529675513192383,B,fold16_contaminated
