variant,seed,fold,calendar_viol_rate,butterfly_viol_rate,min_dwdtau,contaminated
hard_cal_only,3,14,0.0,0.0,0.013144297525286674,False
hard_cal_only,3,15,0.0,0.0,0.012620171532034874,False
hard_cal_only,3,16,0.0,0.0,0.012253936380147934,True
hard_cal_only,3,17,0.0,0.0,0.011919857934117317,False
soft_cal_only,1,0,0.0,0.06147954041523886,0.005915973335504532,False
soft_cal_only,1,1,0.0,0.07881475508969965,0.010896161198616028,False
soft_cal_only,1,2,0.0,0.0636968353154606,0.023810476064682007,False
soft_cal_only,1,3,0.0,0.05200564402338238,0.016841255128383636,False
soft_cal_only,1,4,0.0024188671638782503,0.06289054626083451,-0.0036902911961078644,False
soft_cal_only,1,5,0.0,0.056641806087482365,0.013724315911531448,False
soft_cal_only,1,6,0.0,0.06409997984277363,0.011080443859100342,False
soft_cal_only,1,7,0.004233017536786938,0.11328361217496473,-0.014123979955911636,False
soft_cal_only,1,8,0.0,0.08466035073573876,0.008617855608463287,False
soft_cal_only,1,9,0.0,0.0840556339447692,0.011491447687149048,False
soft_cal_only,1,10,0.0,0.09090909090909091,0.012284930795431137,False
soft_cal_only,1,11,0.0,0.09937512598266479,0.006718456745147705,False
soft_cal_only,1,12,0.0,0.10643015521064302,0.002387411892414093,False
soft_cal_only,1,13,0.0,0.1286031042128603,0.008983604609966278,False
soft_cal_only,1,14,0.0,0.11146946180205604,0.009602632373571396,False
soft_cal_only,1,15,0.0,0.09897198145535174,0.008455537259578705,False
soft_cal_only,1,16,0.0,0.11267889538399516,0.005492746829986572,True
soft_cal_only,1,17,0.0,0.10985688369280387,0.00916200503706932,False
soft_cal_only,2,0,0.0,0.0802257609352953,0.02697264403104782,False
soft_cal_only,2,1,0.0,0.10501914936504737,0.010933637619018555,False
soft_cal_only,2,2,0.0,0.130417254585769,0.013883329927921295,False
soft_cal_only,2,3,0.0,0.11227575085668212,0.020516712218523026,False
soft_cal_only,2,4,0.0,0.09614996976416045,0.007759254425764084,False
soft_cal_only,2,5,0.0,0.10763958879258215,0.0027859434485435486,False
soft_cal_only,2,6,0.0,0.09877040919169522,0.0008885208517313004,False
soft_cal_only,2,7,0.0,0.08486192299939528,0.0020989738404750824,False
soft_cal_only,2,8,0.0,0.08324934489014311,0.012860706076025963,False
soft_cal_only,2,9,0.0,0.11388832896593429,0.003396764397621155,False
soft_cal_only,2,10,0.020157226365652085,0.27756500705502923,-0.08514124155044556,False
soft_cal_only,2,11,0.0008062890546260835,0.13686756702277766,-0.0007303878664970398,False
soft_cal_only,2,12,0.0012094335819391251,0.1527917758516428,-0.0018232911825180054,False
soft_cal_only,2,13,0.0018141503729086877,0.16589397298931666,-0.004308693110942841,False
soft_cal_only,2,14,0.0,0.15158234226970368,0.005992315709590912,False
soft_cal_only,2,15,0.0,0.18967950010078613,0.004542425274848938,False
soft_cal_only,2,16,0.0,0.16569240072566016,0.0059319473803043365,True
soft_cal_only,2,17,0.0,0.1699254182624471,0.004577334970235825,False
soft_cal_only,3,0,0.0012094335819391251,0.21306188268494256,-0.003452494740486145,False
soft_cal_only,3,1,0.0024188671638782503,0.23624269300544246,-0.011753495782613754,False
soft_cal_only,3,2,0.0,0.18423704898206006,0.0013886280357837677,False
soft_cal_only,3,3,0.0022172949002217295,0.20278169723845998,-0.013497527688741684,False
soft_cal_only,3,4,0.00020157226365652087,0.25841564200765976,-0.00018319860100746155,False
soft_cal_only,3,5,0.5301350534166499,0.024188671638782504,-0.12132757902145386,False
soft_cal_only,3,6,0.0012094335819391251,0.09796412013706914,-0.0031591467559337616,False
soft_cal_only,3,7,0.0014110058455956461,0.08808707921789961,-0.007317587733268738,False
soft_cal_only,3,8,0.0020157226365652087,0.091715379963717,-0.010069619864225388,False
soft_cal_only,3,9,0.0022172949002217295,0.07841161056238662,-0.013820849359035492,False
soft_cal_only,3,10,0.0024188671638782503,0.09393267486393872,-0.014590155333280563,False
soft_cal_only,3,11,0.002620439427534771,0.08304777262648659,-0.018384631723165512,False
soft_cal_only,3,12,0.009877040919169522,0.29711751662971175,-0.037541672587394714,False
soft_cal_only,3,13,0.0018141503729086877,0.06551098568836929,-0.008061408996582031,False
soft_cal_only,3,14,0.002620439427534771,0.06712356379762145,-0.013452783226966858,False
soft_cal_only,3,15,0.0024188671638782503,0.07377544849828664,-0.015040967613458633,False
soft_cal_only,3,16,0.0012094335819391251,0.082039911308204,-0.004975408315658569,True
soft_cal_only,3,17,0.054827655714573674,0.15984680507962104,-0.09027950465679169,False
