k,iv,w,g,in_observed,date,expiry,tau,kmin,kmax
-0.22089105882682325,0.3662276676730709,0.008084108220612767,-0.022610839712049566,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.20831447380972723,0.34836167299449095,0.007314599492201245,-0.02501008134015821,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.1957378887926312,0.3301550627025218,0.006570005587447492,-0.028351971624553163,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.18316130377553513,0.3115829494381481,0.005851634401020993,-0.03207997964705096,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.1705847187584391,0.2926155372435417,0.00516088974794297,-0.03457747958295743,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.1580081337413431,0.2732324711960352,0.004499812693012682,-0.03125561919359729,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.14543154872424707,0.2534708275491617,0.0038724496690576756,-0.008409146514325339,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.13285496370715105,0.2335910726157957,0.0032888366096645335,0.08180064100424386,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.12027837869005498,0.2147560947763001,0.0027798464804341867,0.5170676713816779,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.10770179367295896,0.20360949171570564,0.002498767541282236,-3.239436324209745,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.09512520865586294,0.1909056160795446,0.002196682174015426,-0.04997681722440123,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.08254862363876692,0.1750941135068329,0.001847876353053044,0.16736628861062747,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.06997203862167084,0.1585191858308681,0.001514584411185174,-0.3095886863973937,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.05739545360457482,0.14070073237741854,0.0011932255178463643,-0.2904184401709835,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.0448188685874788,0.12533248214763715,0.0009467974898310446,-0.04360383006855306,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.03224228357038278,0.11263027471915743,0.0007646102280352966,0.9451474836818032,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.01966569855328676,0.10119373870674986,0.000617215891988765,0.6220380448985279,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
-0.007089113536190683,0.09352541988246243,0.0005272166893484926,0.7457660166915047,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.005487471480905337,0.08751506919025398,0.0004616315654198595,0.8132599040841572,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.018064056498001357,0.08301027891411195,0.0004153302490925219,0.9143823140077859,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.030640641515097378,0.08297871130469014,0.0004150144209734698,1.6410989147440365,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.04321722653219345,0.09628607070279588,0.0005588004467135445,0.7139941826276921,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.05579381154928942,0.11241510364183846,0.0007616915659992225,0.08736413081984182,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.06837039656638544,0.1298795319476609,0.0010167431288130308,-0.6621475562897461,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.08094698158348157,0.14796872153836726,0.0013196831128256855,0.15744363234880623,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.09352356660057759,0.16771918098630928,0.0016954901938515182,0.0424003395796658,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.10610015161767361,0.18830621450251162,0.0021372686828653427,-0.037030141424397964,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.11867673663476963,0.20834507668492963,0.0026163527713278976,-0.05485167070173305,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.13125332165186565,0.22755699994613998,0.0031211181943526746,-0.054374608123432186,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.14382990666896167,0.24592401322291968,0.0036452867017881343,-0.04969032407223198,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.1564064916860577,0.26346867592410605,0.004183962603425851,-0.045870037564091526,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.1689830767031537,0.2801897276827896,0.004731885580758979,-0.045078643086871165,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.18155966172024973,0.2960363099872396,0.005282260082956007,-0.049902447618993206,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.19413624673734586,0.3108701263014897,0.005824890902431483,-0.07548081852957417,True,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.20671283175444188,0.3242685530800735,0.006337813916071721,-0.02425700142716139,False,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.2192894167715379,0.3363271328854214,0.006817947087475106,0.04415418515140013,False,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.23186600178863392,0.3474661094364426,0.007277039283703437,0.08653719811271651,False,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.24444258680572994,0.3578586864395179,0.0077188560770541865,0.11921019263236718,False,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.25701917182282596,0.3676143656737443,0.008145444056694812,0.14642864732890554,False,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.269595756839922,0.3768118039491992,0.00855812872082163,0.17008359746155968,False,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.282172341857018,0.38551127436607135,0.008957854078339047,0.1912206854601216,False,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
0.294748926874114,0.393760925006605,0.009345338776343174,0.21048839795302016,False,2023-09-06,2023-09-28,0.06027397260273973,-0.3394702889880144,0.1995262117446727
